ID,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,v20,v21,v22,V23,V24,V25,v26,V27,v28
1,1,1,1,1,1,1,1,3,8,1,1,1,0,1,0.5,0.276737359,0.441726339,0.271604938,1,0.186449356,1,0,0,1,1,1,1,0,0.544517887
2,1,1,1,1,2,1,1,3,8,1,1,2,0,1,0.5,0.3230768,0.482540492,0.25308642,1,0.214011434,1,0,0,1,1,1,1,0,0.57380583
3,1,1,1,1,3,2,2,6,8,1,2,3,0.5,1,0.5,0.477117916,0.65877686,0.160493827,1,0.389879683,1,0,0,1,1,1,1,0,0.698571014
4,1,1,1,1,4,3,3,7,8,1,3,4,0,1,1,0.453371192,0.586791124,0.234567901,1,0.424012288,0,1,1,1,1,1,1,0,0.779534744
5,1,1,1,1,4,4,4,9,8,1,1,2,0.5,0.5,1,0.640030992,0.746059937,0.160493827,1,0.626162642,1,1,0,1,1,1,1,0,0.815240753
6,1,1,1,1,5,4,4,9,8,1,3,4,0.5,0.5,1,0.673343707,0.787069749,0.135802469,1,0.639303695,1,1,1,1,1,1,1,0,0.890778593
7,1,0,1,1,3,2,2,6,8,1,3,4,0.5,1,0.5,0.45104853,0.586842835,0.203703704,1,0.337742128,1,1,0,1,1,1,1,0,0.599426876
8,1,0,1,1,4,3,3,7,8,1,3,4,0,0.5,1,0.547437034,0.580766542,0.265432099,1,0.476320505,1,1,1,1,1,1,1,0,0.679477905
9,1,0,1,1,4,3,3,7,8,1,3,4,0.5,0.5,0.5,0.521460688,0.622021223,0.203703704,1,0.415735131,1,1,1,1,1,1,1,0,0.678259546
10,1,0,1,1,6,5,5,11,8,1,4,5,0.5,1,1,0.453371192,0.57117493,0.24691358,1,0.414199164,1,1,1,1,1,1,1,0,0.606527469
11,1,0,1,1,6,5,5,11,8,1,4,5,1,0.5,0.5,0.460835492,0.651014201,0.191358025,1,0.460448844,1,1,1,1,1,1,1,0,0.674565171
12,1,1,1,1,6,5,5,11,8,1,4,5,1,1,1,0.453371192,0.578073284,0.240740741,1,0.416332452,1,1,0,1,1,1,1,0,0.649423317
13,1,1,1,1,6,5,5,11,8,1,4,5,1,0.5,1,0.557311734,0.692642516,0.179012346,2,0.530079358,1,1,1,1,1,1,1,0,0.755850757
14,1,1,1,1,6,6,6,13,8,1,4,5,1,1,1,0.657697739,0.74395377,0.185185185,1,0.72702449,1,1,1,1,1,1,1,1,0.83229295
15,1,1,1,1,3,7,7,17,8,1,2,6,0.5,1,1,0.453371192,0.679996961,0.166666667,1,0.475211195,1,0,0,1,1,1,1,0,0.700138014
16,1,0,2,2,6,8,8,10,5,0,4,5,0.5,0,0,0.466745038,0.454846662,0.462962963,1,0.54876696,1,0,0,0,0,0,1,0,0.310838344
17,1,0,3,2,1,9,9,2,1,0,1,2,0,0,0.5,0.267970088,0.37782144,0.271604938,1,0.07671303,0,0,0,0,0,0,0,0,0.213722147
18,1,0,4,2,1,9,9,2,1,0,1,2,0,0,0.5,0.282120181,0.359221238,0.345679012,1,0.154620701,0,0,0,0,0,0,1,0,0.222517803
19,1,0,4,2,6,10,10,12,5,0,4,5,0.5,0.5,0.5,0.472393179,0.451607885,0.37037037,1,0.371533407,0,0,0,0,0,0,1,0,0.376261282
20,1,0,4,2,6,11,11,10,5,0,4,5,0.5,0,0.5,0.313551967,0.387633871,0.345679012,1,0.203686321,1,0,0,0,0,0,1,0,0.247347214
21,1,0,4,2,1,12,9,2,1,0,1,2,0,0,0,0.313551967,0.387633871,0.302469136,1,0.138151719,0,0,0,0,0,0,1,0,0.241056141
22,1,0,4,2,2,13,12,4,2,0,3,4,0,0,0.5,0.313551967,0.387633871,0.308641975,1,0.150695452,0,0,0,0,0,0,1,0,0.242546725
23,1,0,4,2,2,13,12,4,2,0,3,4,0,1,0,0.313551967,0.472011205,0.240740741,1,0.186876013,1,0,0,0,0,0,1,0,0.286915994
24,1,1,5,1,2,1,1,3,8,1,2,3,0,0.5,0.5,0.518768914,0.634251183,0.216049383,1,0.46079017,1,1,0,1,1,1,1,0,0.665797184
25,1,1,5,1,2,1,1,3,8,1,1,2,0,1,0.5,0.348815761,0.520307497,0.228395062,1,0.25095998,1,0,0,1,1,0,1,0,0.561932931
26,1,1,5,1,4,2,2,6,8,1,2,3,0,0.5,1,0.576328225,0.66662244,0.222222222,1,0.556788122,1,1,0,1,1,1,1,0,0.762911325
27,1,1,5,1,4,2,2,6,8,1,3,4,0,1,0.5,0.460631856,0.638752738,0.166666667,1,0.357880365,1,1,0,1,1,1,1,0,0.641267765
28,1,1,5,1,7,2,2,6,8,1,5,7,0,1,1,0.514171571,0.704901179,0.185185185,1,0.675740251,0,0,0,0,1,0,1,0,0.717661874
29,1,1,5,1,5,3,3,7,8,1,3,4,0.5,0.5,1,0.560508173,0.685846525,0.166666667,1,0.463862104,1,1,0,1,1,1,1,0,0.738990589
30,1,1,5,1,7,3,3,7,8,1,5,7,0.5,1,1,0.655154646,0.79055857,0.111111111,1,0.578974315,1,1,0,1,1,1,1,0,0.825281619
31,1,1,5,1,5,7,7,17,8,1,2,3,0,1,1,0.67820747,0.834411793,0.104938272,1,0.594675314,1,1,0,1,1,1,1,0,0.914492308
32,1,1,5,1,5,4,4,9,8,1,3,4,0.5,0.5,1,0.659818138,0.760539452,0.141975309,1,0.592030037,1,1,1,1,1,1,1,0,0.877106007
