ID,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,v20,v21,v22,V23,V24,V25,v26,V27,v28
38,2,1,5,1,6,6,6,13,8,1,8,14,1,1,1,0.655154645,0.790739118,0.12962963,1,0.633501152,1,1,1,1,1,1,1,1,0.855371321
39,2,1,5,1,6,6,6,13,8,1,8,14,1,1,1,0.657933602,0.787006019,0.12345679,1,0.603976449,1,1,1,1,1,1,1,0,0.854465757
40,2,1,5,1,6,6,6,13,8,1,8,14,1,1,1,0.659671851,0.793292976,0.12962963,1,0.657223313,1,1,0,1,1,1,1,0,0.885134091
41,2,1,5,1,4,7,7,17,8,1,6,8,0,1,1,0.456613371,0.619796697,0.209876543,1,0.438433313,1,1,0,1,1,1,1,0,0.748669378
42,2,0,6,2,2,9,9,2,1,0,3,4,0,0,0.5,0.313883468,0.380299243,0.296296296,1,0.120829422,0,0,0,0,0,0,1,0,0.22208525
43,2,0,6,2,2,12,9,2,1,0,3,4,0,0,0.5,0.313883468,0.380299243,0.308641975,1,0.138151719,0,0,0,0,0,0,1,0,0.255033278
44,2,0,6,2,2,14,13,5,3,0,3,4,0,0.5,0.5,0.327865314,0.457450694,0.24691358,1,0.174502944,1,0,0,0,0,0,1,0,0.330100288
45,2,0,6,2,7,15,14,14,6,0,5,9,0,0,0.5,0.465200881,0.399372483,0.487654321,1,0.42921751,0,0,0,0,0,0,1,1,0.384718263
46,2,0,6,2,3,14,13,5,3,0,3,4,0,0,0.5,0.307119278,0.369025843,0.339506173,1,0.158289956,0,0,0,0,0,0,1,0,0.327273275
47,2,0,6,2,2,14,13,5,3,0,3,4,0,0,0.5,0.359585003,0.437692619,0.302469136,1,0.228517792,1,0,0,0,0,0,1,0,0.318480817
48,2,0,6,2,8,8,8,10,5,0,5,7,0.5,0.5,0.5,0.325302464,0.4593244,0.283950617,1,0.239525557,1,0,0,0,0,0,1,0,0.373048293
49,2,1,63,3,6,32,25,12,5,0,8,14,1,0,1,0.744161696,0.772455358,0.141975309,1,0.636487755,1,1,0,1,1,1,1,0,0.699485658
50,2,0,63,3,6,11,11,10,5,0,8,14,0.5,1,0.5,0.267363756,0.491864926,0.24691358,1,0.240720198,1,0,0,1,1,0,1,0,0.439307005
51,2,0,63,3,2,22,12,4,2,0,3,4,0,0.5,0.5,0.349756629,0.446972797,0.302469136,1,0.243280143,1,0,0,0,1,0,1,0,0.410007237
52,2,0,63,3,2,21,12,4,2,0,3,4,0,0,0.5,0.309556567,0.408827598,0.327160494,1,0.212987456,1,0,0,0,0,0,1,0,0.325441432
53,2,0,63,3,2,22,12,4,2,0,1,2,0,0.5,0.5,0.345963467,0.446038981,0.320987654,1,0.276218107,1,0,0,0,1,0,1,0,0.403209337
54,2,0,63,3,7,15,14,14,6,0,5,9,0,0,1,0.544547079,0.560015997,0.314814815,1,0.54313508,1,0,0,1,1,0,1,1,0.547284202
55,2,0,63,3,7,15,14,14,6,0,5,9,0,0,1,0.592764402,0.63472084,0.271604938,1,0.594504651,1,1,0,1,1,1,1,1,0.599513608
56,2,0,63,3,3,19,18,8,4,0,3,4,0,0.5,1,0.522932073,0.620836687,0.209876543,1,0.429644168,1,1,0,1,1,1,1,0,0.53879562
57,2,0,63,3,5,23,13,5,3,0,3,4,0,0.5,0.5,0.441562084,0.549724183,0.265432099,1,0.389965014,1,1,0,1,1,1,1,0,0.489758359
58,2,0,7,2,9,17,16,1,1,0,1,2,0,0,0,0.112268689,0.216288129,0.425925926,1,0.015103678,0,0,0,0,0,0,0,0,0.14141329
59,2,0,7,2,2,13,12,4,2,0,3,4,0,0,0.5,0.310558435,0.394830103,0.283950617,1,0.123474699,0,0,0,0,0,0,1,0,0.204803282
60,2,0,7,2,2,13,12,4,2,0,3,4,0,0,0.5,0.313883468,0.394830103,0.302469136,1,0.152743408,1,0,0,0,0,1,1,0,0.251525477
61,2,0,7,2,3,14,13,5,3,0,3,4,0,0.5,0.5,0.383403757,0.512405265,0.228395062,1,0.234576329,0,0,0,1,0,0,1,0,0.32091822
62,2,0,7,2,2,13,12,4,2,0,3,4,0,0,0.5,0.313847014,0.396430711,0.296296296,1,0.145660893,0,0,0,0,0,0,1,0,0.251576259
63,2,0,7,2,6,16,15,12,5,0,8,14,0,0.5,0.5,0.448967711,0.504728821,0.290123457,1,0.346189948,0,0,0,0,0,1,1,0,0.352713388
64,2,0,7,2,2,13,12,4,2,0,3,4,0,0.5,0.5,0.313551965,0.437389877,0.259259259,1,0.151036778,1,0,0,0,1,0,1,0,0.267006018
65,2,1,64,3,5,2,2,6,8,1,3,4,0,1,1,0.456861894,0.750655771,0.12345679,1,0.500810649,1,1,0,1,1,1,1,0,0.607840401
66,2,1,64,3,5,3,3,7,8,1,3,4,0,0.5,1,0.590648482,0.757755739,0.12345679,1,0.524276815,1,1,0,1,1,1,1,0,0.689648851
67,2,0,64,3,5,3,3,7,8,1,3,4,0,0.5,1,0.461527619,0.742804714,0.12345679,1,0.485109651,1,1,0,1,1,1,1,0,0.629361086
68,2,1,64,3,6,6,6,13,8,1,8,14,0.5,0,1,0.660873219,0.745530221,0.172839506,1,0.669937708,1,1,1,1,1,1,1,0,0.68094707
69,2,0,8,2,9,17,16,1,1,0,1,2,0,0,0.5,0.112765861,0.221938439,0.401234568,1,0,0,0,0,0,0,0,0,0,0.12391996
70,2,0,8,2,6,11,11,10,5,0,8,14,0,0,0.5,0.345963467,0.447978756,0.271604938,1,0.203089001,1,0,0,0,0,0,1,0,0.302944358
71,2,0,8,2,1,9,9,2,1,0,1,2,0,0,0.5,0.257809748,0.338602989,0.339506173,1,0.105213755,0,0,0,0,0,0,1,0,0.215304353
72,2,0,8,2,2,13,12,4,2,0,3,4,0,0,0.5,0.345963467,0.447978756,0.24691358,1,0.155132691,1,0,0,0,0,1,1,0,0.275483384
73,2,0,8,2,2,9,9,2,1,0,3,4,0,0,0.5,0.313551965,0.357409038,0.302469136,1,0.085502176,0,0,0,0,0,0,1,0,0.218492765
74,2,0,9,2,3,13,12,4,2,0,1,2,0,0,0.5,0.349492354,0.45489234,0.25308642,1,0.176124243,0,0,0,0,0,0,1,0,0.297118988
75,2,0,9,2,2,13,12,4,2,0,3,4,0,0,0.5,0.320140325,0.399513344,0.302469136,1,0.161617885,1,0,0,0,0,0,1,0,0.25312368
76,2,0,9,2,1,9,9,2,1,0,1,2,0,0,0.5,0.313551965,0.394830103,0.271604938,1,0.107859032,0,0,0,0,0,0,1,0,0.199299654
77,2,0,9,2,1,18,17,15,1,0,1,2,0,0,0,0.313551965,0.394830103,0.358024691,1,0.230565748,0,0,0,0,0,0,1,0,0.167752878
